Sample,Depth,Age,TOC,TLE,Fatty Acids,Alkanes,Shannon,Simpson,Magnesite,Dolomite,Trona,Nahcolite,Aragonite,Hexahydrite,Epsomite,Gypsum,Blodite,Loweite,Quartz,Plagioclase,Augite,Amphibole,Chlorite,Muscovite,Analcime,Chabazite,Phillipsite,Pyrite,Amorphous and poorly crystalline,Br/LCFA,Auto/Allo
BL3_20,20,1959,10.04,2.901273555,100.5195878,48.44499562,3.344589781,0.93871939,43.4,0,0,0,0,16,0,17,0,1,1.8,1.4,0,0.3,0.3,0,0,0,0,0,18.8,0.336802641,0.717322667
BL3_23,23,2290,6.7,6.630108845,32.0555525,28.4858417,3.276108809,0.940392439,45.3,0,0,0,0,16.7,0,14.1,0,3,1.5,1.2,0,0.3,0.3,0,0,0,0,0,17.6,0.270132597,0.558997973
BL3_26,26,2596,11.43,7.355193586,24.87728115,6.13579208,3.172383032,0.936007884,50.7,0,0,0,0,15.1,0,14.9,0,3,1.3,1.6,0,0.3,0.4,0,0,0,0,0,12.7,0.172640097,0.493928732
BL3_29,29,2881,10.68,8.882181453,12.33819563,4.653009836,3.23060997,0.941179553,46.9,0,0,0,0,11.8,0,16.1,0,4.6,1.2,1.2,0,0.3,0.3,0,0,0,0,0,17.6,0.268671595,0.764343862
BL3_32,32,3139,10.37,8.58141401,9.790949885,5.628296657,2.915217223,0.927980474,50.2,0,0,0,0,14.9,0,11.5,0,4.5,1.3,1.4,0,0.3,0.3,0,0,0,0,0,15.6,0.436055042,0.906102434
BL3_35,35,3443,14.78,9.848697809,27.73923492,2.673104793,3.18119686,0.935003288,48,0,0,0,0,13.9,0,10.5,0,3.7,1.6,1.2,0,0.3,0.3,0,0,0,0,0,20.5,0.309366209,0.827303777
BL3_38,38,3745,13.32,9.034085844,25.72227772,3.410799966,3.171573413,0.930267793,55.2,0,0,0,0,13.6,0,13.9,0,4.4,2,1.9,0,0.3,0.5,0,0,0,0,0,8.2,0.400130052,1.020461359
BL3_41,41,4128,9.79,11.40862162,16.96583681,3.460271179,3.155543609,0.924356519,50.5,0,0,0,0,13.1,0,12.7,0,4.4,1.8,1.6,0,0.3,0.3,0,0,0,0,0,15.3,0.371141072,1.12791731
BL3_44,44,4624,12.14,8.544373342,29.26041665,5.414412676,3.125214386,0.924699106,48.2,0,0,0,0,12.2,0,14.1,0,3.8,1.9,1.7,0,0.3,0.4,0,0,0,0,0,17.4,0.496358727,1.097255669
BL3_47,47,5102,11.02,10.46103463,19.51459168,3.036005234,3.206963917,0.941042021,45.5,0,0,0,0,12.8,0,15.1,0,3.8,1.8,2.5,0,0.3,0.3,0,0,0,0,0,17.9,0.364717206,0.726591094
BL3_50,50,5590,3.17,6.075510386,26.94498572,2.297719752,3.254272551,0.943097533,50.6,0,0,0,0,8.9,0,28.1,0,2.7,0.9,0.8,0,0.3,0,0,0,0,0,0,7.7,0.385154932,0.679994942
LCL4A_6-9,7,245,0.88,3.67,45.218782,,2.492486089,0.886508984,0,7.5,0,5.7,0,0,0,0,0,0,3.3,32.3,8.7,0.8,1.3,1.3,0.7,1.4,0,0,37,0.246835443,0.474683544
LCL4A_12-15,10,822,1.22,2.57,,,,,0,8.4,0,7.3,0,0,0,0,0,0,3.6,31.5,9.2,1.4,1.5,0,1.6,1.6,0,0,33.9,,
LCL4A_15-18,13,981,1.15,2.54,18.964128,,2.181248247,0.870166568,0,8.7,0,1.6,0,0,0,0,0,0,2.3,26.6,7.5,0.5,1.4,0,1.4,1.5,0,0,48.5,0.019607843,0.019607843
LCL4A_16,16,,2.18,4.92,28.79865454,,2.416596356,0.887771037,0,11.1,0,5.9,0,0,0,0,0,0,2.8,27.9,6.7,0.9,1.6,0,1.3,1.3,0,0,40.5,0.073170732,
LCL4A_19,19,,1.76,5.26,,,,,0,10.5,0,7.4,0,0,0,0,0,0,1.2,20.6,5.8,0.5,1.9,1.5,1.3,1.1,0,0,48.2,,0.195121951
LCL4A_22,22,,2.24,6.52,,,,,0,11.6,0,2.9,0,0,0,0,0,0,1,17.1,4.5,0.5,2.1,0,1.7,1.3,0,0,57.3,,
LCL4A_27-30,25,1323,1.78,5.96,49.06296464,,2.247766424,0.868735846,0,11.4,1.7,4.2,0,0,0,0,0,0,1.1,18.4,5.1,1,2.1,2,1.7,1.5,0,0,49.8,0.021806854,
LCL4A_30-33,30,1363,2.67,8.96,31.63964998,,2.2015357,0.8565676,0,11.1,6.1,4.1,0,0,0,0,0,0,0.9,13.9,4,0.6,2,0,1.6,1.4,0,0,54.3,0.037037037,0.106481481
LCL4A_33-36,33,1404,1.83,6.5,51.79048904,,2.157323245,0.848644232,0,10.1,0.5,5.1,0,0,0,0,0,0,0.7,13.1,4.1,0,2,1.8,1.6,1.5,0,0,59.5,0.032967033,0.07967033
