RT,Key Peaks,Compound,Category,BL3_5,BL3_8,BL3_11,BL3_14,BL3_17,BL3_20 ,BL3_23,BL3_26,BL3_29,BL3_32,BL3_35,BL3_38,BL3_41,BL3_44,BL3_47,BL3_50 
14.39,98111308,Thiophene ,Organosulfur ,0.577216197,0.449483001,0.586257218,0.06966193,0.160895341,0.258144524,0.607930736,0.177810959,0.109012832,0.161453928,0,0.055944538,0.089434853,0.167106802,0.094081173,0
14.56,"71,85,310",n-C22,Short_Saturated_Alkane,1.737159062,1.585675027,1.897065716,0.295465004,0.411115624,0.722532418,1.741520797,0.315723833,0.250744136,0.355235542,0.280701147,0.199883961,0.237000007,0.333789215,0.205256733,0.129165042
14.87,,,Unknown,0,0.133983965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.24,"71,85,324",n-C23,Short_Saturated_Alkane,3.434932966,3.35475622,3.920436505,0.682157368,0.89388464,1.431402978,2.869610031,0.644778462,0.474224177,0.551708244,0.376709076,0.39841612,0.454784022,0.464960905,0.36392336,0.200137776
15.38,,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.56,,,Unknown,0,0,0,0,0.062280216,0,0,0,0,0,0,0,0,0,0,0
15.76,,,Unknown,0,0,0,0,0.034059637,0,0,0,0,0,0,0,0,0,0,0
15.89,"71,85,338",n-C24 ,Long_Saturated_Alkane,1.57499545,1.356496878,1.579827855,0.266046621,0.347505183,0.517855264,1.252378606,0.288941186,0.226419876,0.322896068,0.226641292,0.180921433,0.21351361,0.208330599,0.212872593,0.153922146
16.03,,,Unknown,0,0,0,0.065915865,0,0,0,0,0.101984039,0,0,0,0,0.093689804,0,0
16.52,"71,85,352",n-C25,Long_Saturated_Alkane,2.44770112,2.467124186,2.878397994,0.506821514,0.686003018,1.051462368,2.364701835,0.512377769,0.376075816,0.469133458,0.289164257,0.370913416,0.388953517,0.363324936,0.318413443,0.161735929
16.74,"69,83,97,111,311,344",C20 Dithiane,Organosulfur ,0,0.141877372,0.207379003,0.073683675,0.227401877,0.127776826,0,0,0,0,0,0,0,0,0,0
16.81,"71,85,168,196,224,378",br-C28? ,Branched_Alkane,0.191170835,0.102619992,0.161751,0,0,0,0,0,0,0,0,0,0,0,0,0
16.9,"69,97,336",C24:1,Alkene,0,0.213636682,0.223493737,0.054421995,0.094368811,0.185169992,0,0,0,0,0,0,0,0,0,0
16.97,,,Unknown,0.372094928,0.105075565,0.117679528,0.067480405,0.029391379,0,0,0,0.075130396,0.054654305,0,0,0,0.081756687,0,0
17.09,,,Unknown,0.140038072,0.122525223,0.174540809,0.038150947,0.051462756,0.064189964,0,0,0,0,0,0,0,0,0,0
17.14,"71,85,366",n-C26,Long_Saturated_Alkane,0.55765188,0.530889142,0.713340809,0.1175596,0.151619025,0.206339227,0.61700609,0.171890576,0.111396476,0.126548455,0.07804421,0.131848655,0.112365461,0.110570426,0.089657567,0.058950832
17.31,,,Unknown,0,0,0,0,0.028211978,0,0,0,0,0,0,0,0,0,0,0
17.65,,,Unknown,0.141754094,0.124371027,0.139301169,0.025540943,0,0,0,0,0,0,0,0,0,0,0,0
17.69,,? ,Unknown,0,0,0,0,0,0.047244082,0,0,0,0,0,0,0,0,0,0
17.76,"71,85,380",n-C27 ,Long_Saturated_Alkane,1.698697512,0,2.43952364,0.46066843,0.573157685,0.873791039,2.04157205,0.483329482,0.383412874,0.413392326,0.267911974,0.28876974,0.334396254,0.396902662,0.290941976,0.173121657
18.1,"71,85,168,196,224,252,382",,Unknown,0.221853332,1.962296155,0.284157395,0.048220312,0.085058094,0.089223088,0,0,0,0,0,0,0,0,0,0
18.16,,? ,Unknown,0,0.225649406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.18,"69,83,336",C24:1,Alkene,0,0.175275209,0.112287676,0.04513978,0.062115093,0.089474895,0,0,0,0,0,0,0,0,0,0
18.28,"71,85,352",n-C25,Long_Saturated_Alkane,0.164508441,0.136594605,0.211515392,0.031501346,0.062929848,0.056018121,0,0,0,0,0,0,0,0,0,0
18.38,"71,85,366",n-C26,Long_Saturated_Alkane,0.229185398,0.232567722,0.292101735,0.0391168,0.078701199,0.07135585,0,0,0,0,0,0,0,0,0,0
18.44,"69,81,95,109,310",trans iso-C30:6 ,Isoprenoid_Alkane,0,0.154130044,0.231461392,0.0237522,0.065997515,0,0,0,0.115115125,0,0.103663786,0.155662455,0.076568631,0.06852997,0,0.06298411
18.54,"71,85,394",n-C28,Long_Saturated_Alkane,0.731583161,0.663085791,0.74382672,0.137821165,0.124532266,0.206206697,0.881863171,0.151741671,0,0,0,0,0,0,0,0
18.86,"69,81,95,410",trans iso-C30:6 ,Isoprenoid_Alkane,0,0.460925847,0.424691218,0.05083719,0.097372514,0.069816322,0,0,0,0,0,0,0,0,0,0
18.95,"71,85,265,408",br-C29,Branched_Alkane,0,0.173183458,0,0.044539995,0.046625719,0,0,0,0,0,0,0,0,0,0,0
19.05,6.91072E+13,,Unknown,0,0.206311053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.11,"71,85,408",n-C29 ,Long_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.23,"71,85,408",n-C29 ,Long_Saturated_Alkane,1.77640253,2.016440543,2.432335518,0.393436745,0.572799705,0.737188978,1.735157095,0.40412906,0.292639284,0.294709534,0.202445414,0.264347444,0.283174835,0.319078079,0.249744198,0.12373323
19.28,,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.4,,,Unknown,0.14262399,0.11307365,0.112325689,0.030719198,0,0,0,0,0,0,0,0,0,0,0,0
19.47,"71,85,364,410",br-C29?,Unknown,0.149661563,0.285604148,0.323210055,0.045839103,0.067930932,0.067895906,0,0,0,0,0,0,0.042670825,0,0.054947344,0
19.63,,,Unknown,0,0.296299254,0,0,0.063118944,0.127395575,0,0,0,0,0,0,0,0,0,0
19.7,,,Unknown,0.192921121,0,0.305752173,0.122818607,0,0,0,0,0.088818161,0.06570323,0,0,0,0.113775962,0,0
19.77,69143366,Cholesterol,PAH,0,0,0,0.097650441,0.140203641,0.147569382,0,0,0,0,0,0,0,0,0,0
