RT,Compound,Category,SL_2,SL_5,SL_8,SL_11,SL_14,SL_17,SL_23,SL_26,SL_29,SL_32,SL_35,SL_38,SL_41,SL_44,SL_47,SL_50,SL_53,SL_56,SL_59,SL_62,SL_65,SL_68,SL_71,SL_74,SL_77,SL_80,SL_83,SL 83
9.17,n-C12 FAME ,Saturated ,1.74546948,0.846295887,0.740056671,1.784109386,0.504897693,1.432661217,0.516460703,1.314591214,1.046608457,1.804241802,1.348984723,0.72462978,0.613877962,0.725511217,0.490632456,0.918338506,0.959084904,0,0.638326414,0.839595415,0.391230327,0.34590639,0.319278388,0,0,0,0,0
9.39,C9 Dimethyl Ester,Diacid,0.460901399,0.306182279,0.50290278,0.464518966,0,0.510915484,0,0.290831528,0,0.278267982,0.230530089,0,0,0,0,0,0,0,0,0,0.227673728,0.228878907,0.192354109,0,0,0,0,0
10.04,n-C13 FAME,Short_Saturated ,0,0,0.160990433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112408591,0,0,0,0,0,0,0
10.26,C10 Dimethyl Ester ,Diacid,0,0,0.159881431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128112844,0,0,0,0,0,0,0
10.65,i-C14 FAME ,Branched ,0.488913905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.96,n-C14 FAME,Short_Saturated ,1.301197857,0.757329763,1.142130133,1.371672257,0.643385342,1.584981333,1.315742279,0.819469061,0.817793126,0.96053769,0.605712699,0.524775779,0.451834161,0.488529552,0.551734941,0.634642855,0.582693841,0.374946973,0.498256646,0.580673754,0.413256415,0.287821458,0.359010919,0.204717631,0.233931264,0.144188518,0,0
11.13,C11 Dimethyl Ester ,Diacid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08422761,0,0,0,0,0,0,0
11.39,iso-C16 FAME,Isoprenoid,0.482072762,0.211002047,0.576098714,0.433616082,0.312740065,0.571276489,0.443651346,0.331967143,0.30415762,0.315447835,0.243292058,0.169960206,0.189732487,0.238979639,0.33864697,0.199699517,0.319477631,0.217238137,0.180524096,0.26468281,0.223884674,0.188618719,0.19030203,0,0.119482407,0,0,0
11.5,n-C15 FAME,Short_Saturated ,1.651705398,0.560546072,1.137543142,1.0398924,0.721099519,1.680039096,2.081261661,0.718128703,0.561569426,0.473897764,0.329689022,0.247792204,0.199694444,0.218461701,0.389598255,0.221779765,0.317015761,0.23219816,0.144115006,0.270220911,0.245760683,0.146833342,0.174093281,0,0.092070759,0,0,0
11.57,a-C15 FAME,Branched ,1.167370926,0.50240351,0.828473074,0.741443926,0.458751631,1.016800361,1.212706389,0.557524179,0.382037437,0.34847703,0.189611046,0.208492932,0.062163518,0.214230074,0.261900565,0.276237783,0.285623073,0.154336264,0.195394342,0.313827567,0.215019941,0.168548514,0.148278662,0,0.126778114,0,0,0
11.65,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168568201,0.096098062,0,0,0,0,0,0
11.8,n-C15 FAME,Short_Saturated ,1.225274641,0.407198039,0.828936806,0.912666279,0,1.131894302,0,0.59903056,0.518549245,0.739962659,0.555504775,0.307794018,0.305421922,0.379311014,0,0.329497246,0.423174286,0,0.295910892,0.526388028,0.523521754,0.35969697,0.356919734,0.285307858,0.306659068,0.192899165,0,0
